anime_id,name,english_name,genres,studios,image_url,content,content_prep
1,Cowboy Bebop,Cowboy Bebop,"Action, Award Winning, Sci-Fi",Sunrise,https://cdn.myanimelist.net/images/anime/4/19644.jpg,"Cowboy Bebop Sunrise Action, Award Winning, Sci-Fi","['cowboy', 'bebop', 'sunris', 'action', 'award', 'win', 'sci']"
5,Cowboy Bebop: Tengoku no Tobira,Cowboy Bebop: The Movie,"Action, Sci-Fi",Bones,https://cdn.myanimelist.net/images/anime/1439/93480.jpg,"Cowboy Bebop: Tengoku no Tobira Bones Action, Sci-Fi","['cowboy', 'bebop', 'tengoku', 'tobira', 'bone', 'action', 'sci']"
6,Trigun,Trigun,"Action, Adventure, Sci-Fi",Madhouse,https://cdn.myanimelist.net/images/anime/7/20310.jpg,"Trigun Madhouse Action, Adventure, Sci-Fi","['trigun', 'madhous', 'action', 'adventur', 'sci']"
7,Witch Hunter Robin,Witch Hunter Robin,"Action, Drama, Mystery, Supernatural",Sunrise,https://cdn.myanimelist.net/images/anime/10/19969.jpg,"Witch Hunter Robin Sunrise Action, Drama, Mystery, Supernatural","['witch', 'hunter', 'robin', 'sunris', 'action', 'drama', 'mysteri', 'supernatur']"
8,Bouken Ou Beet,Beet the Vandel Buster,"Adventure, Fantasy, Supernatural",Toei Animation,https://cdn.myanimelist.net/images/anime/7/21569.jpg,"Bouken Ou Beet Toei Animation Adventure, Fantasy, Supernatural","['bouken', 'beet', 'toei', 'anim', 'adventur', 'fantasi', 'supernatur']"
15,Eyeshield 21,UNKNOWN,Sports,Gallop,https://cdn.myanimelist.net/images/anime/1079/133529.jpg,Eyeshield 21 Gallop Sports,"['eyeshield', 'gallop', 'sport']"
16,Hachimitsu to Clover,Honey and Clover,"Comedy, Drama, Romance",J.C.Staff,https://cdn.myanimelist.net/images/anime/1301/133577.jpg,"Hachimitsu to Clover J.C.Staff Comedy, Drama, Romance","['hachimitsu', 'clover', 'staff', 'comedi', 'drama', 'romanc']"
17,Hungry Heart: Wild Striker,UNKNOWN,"Comedy, Slice of Life, Sports",Nippon Animation,https://cdn.myanimelist.net/images/anime/12/49655.jpg,"Hungry Heart: Wild Striker Nippon Animation Comedy, Slice of Life, Sports","['hungri', 'heart', 'wild', 'striker', 'nippon', 'anim', 'comedi', 'slice', 'life', 'sport']"
18,Initial D Fourth Stage,UNKNOWN,"Action, Drama",A.C.G.T.,https://cdn.myanimelist.net/images/anime/9/10521.jpg,"Initial D Fourth Stage A.C.G.T. Action, Drama","['initi', 'fourth', 'stage', 'action', 'drama']"
19,Monster,Monster,"Drama, Mystery, Suspense",Madhouse,https://cdn.myanimelist.net/images/anime/10/18793.jpg,"Monster Madhouse Drama, Mystery, Suspense","['monster', 'madhous', 'drama', 'mysteri', 'suspens']"
20,Naruto,Naruto,"Action, Adventure, Fantasy",Pierrot,https://cdn.myanimelist.net/images/anime/13/17405.jpg,"Naruto Pierrot Action, Adventure, Fantasy","['naruto', 'pierrot', 'action', 'adventur', 'fantasi']"
